index,condensed codes,extract
184,policy and pharmaceuticals,"The DEA did not tell your doctor what he could and could not prescribe, your doctor decided not to deal with pain meds at all. That is his right, but don<APO>t blame it on the government. How can he manage his patients properly without ever using narcotics? I wouldn<APO>t go to him. Some illnesses require pain management, if only for a short time. The DEA does not make treatment decisions, individual doctors do. You say, ""They are removing the physician<APO>s right to choose the medication that would best treat their patient<APO>s pain."" I will ask you again, what drugs have the DEA said that doctors may not prescribe to their patients during this recent crackdown? Where can I find this information on the DEA website? I have read nothing about this in my nursing journals or on medical websites. The FDA is the agency that determines the safety of medication, they are the ones that pull unsafe drugs from the maket. The DEA deals with enforcement regarding mostly drug dealing and over-prescribing. My doctor has altered her practice somewhat so that she documents more completely those things she and the state feels are important to document for pain patients. I have been seeing her for about 12 years, now and she has updated her policies 3-4 times over the years as new information comes out. A few months ago, she asked all her chronic pain patients to sign updated pain medicine consent forms and pain contracts. She asked everyone on pain meds to get a ""recent"" consult with a pain management doctor to evaluate how our treatment was working for us. I hadn<APO>t had one in about 12 years, I don<APO>t think that was too much to ask of me. I went and saw a PM specialist and after one hour of talking about my history and treatment, he complimented me and my doctor, he said I was ""one of the best managed chronic pain patients he had ever seen."" So, now his report is in my file. The state of Oregon where I live, has specific chronic pain management guidelines, as long as the doctors practice within those guidelines and document their care, they do not get hassled by anyone. The DEA is a federal agency, and if they are ""cracking down"", it seems like they would do it where they find abuses. If your doctor was prescribing and documenting properly, he would have no trouble with them at all. If he is doing 2 minute, monthly appts. and handing out huge amounts of drugs without proper diagnosis and evaluation, then he deserves to be appraised by the DEA. I am a nurse, I am a pain management patient, and I just do not see a big DEA crackdown on doctors who manage pain appropriately. I do see some doctors using that as an excuse to not treat chronic pain. But, it is more likely that they just do not want to deal with figuring out who is a drug abuser after drugs to get high on, and who isn<APO>t. That takes an incredible amount of time out of your day, and drains your energy. I understand that, but I feel it is still a part of my doctor<APO>s job to treat my pain and help make me functional. Take care, Annette"
1362,surgical,"I Googled it and it seems to be a minimally invasive surgery to remove disc material and decompress the spine. I think similar surgery is available in many places. they may use a different brand of endoscope. It seems the Accurascope is a brand name of the equipment used. I would not bother with this, surgery is surgery, and has a poor record of actually relieving spinal pain. I saw lots of testimonials but not research material that showed it actually worked, nor did I find lists of complication rates, infection rates, etc. To be honest, I did not spend a lot of time researching this, I just visited a few sites. Do your research and ask for actual medical research not testimonials. Take care, Annette"
1366,exploring non pharmaceutical techniques for pain,"I was also very active, had horses, etc. before FMS.It has been about 15 years now, and I am really just getting going again. I really slowed down physically, but finally I am getting more active again. I volunteer one morning a week walking dogs for an hour at the animal shelter. I have made some good friends there. I am doing belly dance classes I recorded off the TV fitness channel, two classes for a total of about 30-45 minutes a day. I found I will be exhausted no matter what, and I do feel better doing them. NO ONE gets to watch, lol. They are fun, and that is what matters to me. I cannot just ""exercise"", too boring. This actually distracts me from my pain and I have found they do not cause that much more pain than I already have. Last night I thought I would fall asleep while doing them, but I didn<APO>t, lol. I do limit myself to the two classes, I have found that doing three makes my pain significantly worse than the two that I usually do. Everyone is different, and has different abilities at different times in their lives. You do what you can do and don<APO>t worry about it. I am so sorry for your aunt<APO>s loss. I lost a cousin and his sister<APO>s husband this last January. It is tough no matter how old someone is. I hope you were able to enjoy your family reunion. Take care, Annette"
1373,pharmaceutical therapy,"The doctor is correct in saying that nothing will get rid of all your pain, and you are right in wanting better pain control. I have been through that part you mentioned about dreaming you were in horrible pain only to wake up and realize the pain was still there. It is terrifying. I was not working when I got that bad, but it did make me decide to try long acting pain meds, just during the night at first.. Does your nursing school allow students to use opiates while on the job at the hospital providing patient care? Some states allow nurses to use pain management drugs and others do not. I used short acting meds in the evening after work while I was still working because the state I lived in then did not allow nurses to use opiates on the job. Find out by calling your state nursing board, I have used mine for questions for years and they have always been wonderful. Your doctor may be assuming that if you are a nursing student, you cannot take long acting opiates, and he might be wrong. I am not defending him, because I suspect he isn<APO>t thinking that way, it is just a thought. I had one doctor that asked my nursing director right in front of me after emergency midline abdominal surgery how long she could spare me. I was barely awake from anesthesia. She said three weeks, and he released me to drive and work full time in three weeks. I wasn<APO>t allowed to move patients, and was told to ask other nurses to carry that part of my load until I could. He wasn<APO>t thinking of me, lol. I take neurontin too, but because I am also afraid of sedation, I take my entire daily dose all at once in the evening a few hours before bed. I consider it a wonder drug for me, it has helped me in many ways. My doctor suggested I take it that way and said she had other pain management patients who used it that way and they still had good pain contol during the day. I won<APO>t go to a doctor who is only interested in doing procedures and injections, because that is not what I want. You may have to find another doctor that fits in with your philosophy of how to manage your pain. Take care, Annette"
127,policy and pharmaceuticals,"Call the company that makes your actiq and ask to speak to their consumer assistance program. Many drug companies do have programs to help folks who take their own drugs. You may have to do a lot of paper work and have your doctor or pharmacist sign off on it. Take care, Annette"
123,pharmaceutical adverse effects,"I would personally recommend an increase in the long acting med, Oxycontin, rather than the break through med. The literature I have read says one should only be using BT meds a couple of times a day, and if you need it more often than that, you should increase your long acting med. My personal experience is that over ten years I have only increased my breakthrough meds by 1/2 a Norco per dose. I started out taking one, now I take 1 1/2 per dose. As long as my long acting med dose is correct, the BT med gets my blood levels of opiates high enough to work when I need it. All doctors have their own way of prescribing opiates, and there is no ""one"" way to do it. I would just work within his comfort zone and be trustworthy. As long as you maintain a good relationship with your doctor, you should be able to experiment with your meds (with his permission of course) until you get the doses right."
117,pharmaceutical therapy,"Any time I can help I am happy to, Charlie. Methadone was invented by the Germans during WWII because they could not get enough morphine for their troops. It was used for pain only until the 1960s or so, then it was utilized for heroin addiction. I was in nursing school in 1968 and was familiar with it mixed in a cocktail they gave cancer patients for pain. After I graduated in 1970, I worked in a heroin addiction clinic where we used it for treatment for those who wanted to try it. It was still considered experimental for that use at that time. I feel so comfortable with methadone that when my husband needed pain management for a bad hip, I had no trouble with his doctor putting him on methadone. He was on it for a couple of years until his other medical problem was healed and he could have the hip replacement surgery he needed. He was maintained on the methadone until after the surgery, then his doctor told us he could taper off whenever he wanted to. I fill his weekly medicine box with his meds, and my husband left it up to me to taper him off. He told me he didn<APO>t want to know about it. I told him fine, but he was to tell me if he felt sick at all. I tapered him off, he says he had no withdrawals at all. When I went on long acting meds my doctor and I were new to each other so I opted to go on long acting morphine because that was what she felt comfortable with. If we ever lose our private insurance, I will end up on Medicare and will switch to methadone. I hope it is working well for you"
116,communication and learning about pain,"Benzos are drugs in the benzodiazepine family, things like valium, xanax, ativan, klonopin, restoril, etc. We were told way back then not to ever mix them with methadone when I worked in heroin addiction treatment in the 1970s. It seems like now they are finally telling the pain management world that it is still a bad idea. They mentioned it at a pain management class I took a year or so ago, and when I mentioned that here a lot of people got angry with me and thought I was wrong. Apparently they were taking opiates and benzos and didn<APO>t like me suggesting it wasn<APO>t a good idea"
114,pharmaceutical therapy,"Substituting one opiate for another often reduces or eliminates withdrawal. If you develop any withdrawal symptoms, call your doctor and he can adjust the fentanyl or let you take percocet for breakthrough while you adjust to the patch."
109,pharmaceutical therapy,"Teresa said many useful things. I want to really impress upon you the comment she made about ""chasing your tail"" with taking the pain meds after work and then waiting for them to get your pain levels down to something you can deal with. It has been shown in medical studies that people who take opiates when their pain level starts to go up, rather than waiting until the pain is terrible to take their pills, end up taking less medicine in the long run. Opiates work better when taken early on in the pain cycle. You should discuss with your doctor trying a long acting opiate, whether you try the fentanyl patch or one of the long acting pills doesn<APO>t really matter to me. By doing that you end up with a steadier level of medicine in your blood stream, and a steadier amount of pain relief. Many people also take a short acting med like your percocet for any breakthrough pain caused by increased activity, etc. Addiction happens in less than 5% of those who use opiates for pain. Be aware of this, but it is no reason to avoid opiates if you have no history of addiction problems in the past"
107,pharmaceutical adverse effects ,Just the fact of using opiates does not mean one WILL become addicted. Less than 5% of people who use opiates as directed for chronic pain become addicts
104,pharmaceutical therapy,"I wish there were a simple answer but there isn<APO>t. I would stick with one doctor who specializes in headache management, probably a neurologist. Then you just have to go through all the different meds, first one at a time, then in pairs. It can take 2-3 years to do this as you need to stay on a steady dose of each for 3-4 weeks at least to see if they will work. Narcotics are a poor choice for migraines or other types of headaches, as they can cause rebound headaches, which can lead to chronic daily headaches. Include the day your period starts and ends in your headache journal. It took me a really long time to learn to manage my migraines, but it was worth it when I finally came up with a treatment program that worked fairly well."
98,pharmaceutical therapy,"Gail and I totally agree that using opiates for chronic pain is appropriate in most cases. I just believe in education about ALL possible side effects from meds to prevent problems, not to scare people away. She and I both use opiates for chronic pain, and have for quite awhile. I have used them daily for over twelve years. I believe in open, honest communication between doctors and patients."
95,primary care provider interactions,"I am sorry you are in so much pain. I hope you find some way to get relief soon. There is no patient bill of rights that says a doctor has to treat pain with opiate pain meds. What kind of meds or other treatments a doctor offers is entirely up to him. I don<APO>t know what treatments would be best for you, that is between you and your doctor. I would suggest you choose one doctor and stick with him. Try whatever he offers, and if it doesn<APO>t work, tell him so. Then try the next thing he offers. As you build up a relationship with him he may learn to trust you enough to offer opiates if he feels they are warranted. "
94,primary care provider interactions,"I just want everyone to know there is hope out there, there are good doctors around. My pcp manages my pain, and between the two of us we have done pretty well for the last 11 years or so. I had seen a PM doc just before I moved here so it had been awhile since I had been to one. She was updating her files and decided that all her pain patients should sign up to date opiate consents and pain med contracts. Part of that was that we needed to see a board certified pain specialist for a consultation if we had not seen one recently. My state medical board has guidelines for doctors who manage chronic pain with opiates, and they include a consultation with another doctor, and his agreement that opiates are the right way to go. As long as the doctors practice within these guidelines they are fine with the authorities. I asked my doctor for a referral to a PM doctor and she gave me one in my town. I checked out his website and he practices interventional pain management. I was very concerned that he would have an immediate bias towards doing injections and procedures and against using oral pain meds. I was so wrong to worry. He did a very thorough history, both the written one I filled out, and the one he did in our interview. We went through all the treatments and meds I had tried over the years, and I had tried more than he was used to. I have FMS, migraines, and DDD. I have had one discectomy in 1992. We spent about 50 minutes talking (he was even on time for my appt.). After our talk he told me I was possibly the best managed chronic pain patient he had ever seen, he congratulated me and my pcp. The only suggestion he made was that I do my stretches twice a day rather than once a day. Otherwise, I should just keep on with the treatment plan I had in place. He did not even suggest I have any invasive procedures. He commented on leaving that in his experience folks with FMS ended up in acute pain after the tender point exam and it was best done only to make a diagnosis. He felt there was no need to repeat it after that unless there was some kind of change in the patient<APO>s condition. He said since he would not be there to treat that pain, he would rather not instigate it. Hooray!! A caring doctor who understands FMS pain and does not want to make it worse. Seeing him was a really nice experience. So, they are out there. Keep looking if you have not found one yet."
90,headache,"I assume the CT was of his head? If so that was the appropriate thing to do based on what I have learned over the years as an ER nurse. Two weeks is not long enough for him to give up yet. Many of the headache meds designed to prevent headaches take up to 4-6 weeks to work. Your hubby also need rescue meds to take when the headaches hit. I had a bump on the head in an auto accident once and had chronic daily headaches for about 8 weeks, then they went away. My doc called it post-concussive syndrome. It was miserable while I had it, and I was happy to see the end of it"
88,communication and learning about pain,"I never had any trouble with w/c doctors until my husband fell off a truck onto concrete and developed a non-healing wound and AVN of the hip he landed on. They treated the wound until it finally healed after two years of wound care and two surgeries. But they claimed the hip problem was re-existing and refused to cover the hip replacement he required. All of his own doctors said the hip injury from the fall caused the AVN, but the w/c doctors all said it was pre-existing. He had NEVER had pain or any problems with that hip prior to the accident. The definition of pre-existing in our state says you must have medical documentation that it had been diagnosed and treated in the past. They opted to ignore that. It is the job of ""independent"" doctors who work for w/c to reject as many claims as they can. We gave up and used his employers insurance and paid out nearly $5,000 for our share of the cost, not counting time off work, etc. He had his hip replaced and is doing great. It is been one year post op now. This is one more reason I am for a single payer system of universal health care. We would eliminate w/c because all people would go through their own doctors for care and they would be paid out of one system. It has made me politically more radical than I was before"
275,communication and learning about pain,"Chronic pain is different than migraines. I don<APO>t think Vit D levels change much from day to day, but seasonally those of us who live up north may not get enough sunshine in the winter months, so ones Vit. D level may drop. My level has dipped down this winter slightly below normal, and it has never been low before. I started taking supplements per my doctor, but have not noticed any difference with my pain. It was just as bad back when my Vit. D level was normal. Barometric changes can affect migraines and other kinds of chronic pain also. "
305,communication and learning about pain,"I am a bit confused regarding your last paragraph about neurontin. If you don<APO>t feel any pain, how can the ""physical pain"" exhaust you and thereby cause you deep depression? Wouldn<APO>t any pain reliever cause depression using this logic? I understand how overdoing it can cause exhaustion, but I would just consider that you were much more active than usual and therefore more tired. I would use the amount of tiredness I feel to control the amount of activity I do, like regular, pain free people do. The neurontin was just doing what it was supposed to do, relieve the pain. Neurontin only causes depression in about 2% of the people who use it according to my drug handbook. That is a very small percentage. Take care, Annette"
2737,primary care provider interactions,"Go see a doctor and let him/her examine you thoroughly and do whatever tests are needed to make a proper diagnosis. Do not take anymore drugs until you talk to a doctor. Take care, Annette"
4561,pharmaceutical therapy,"Please discuss your problems with your doctors, do not bother with TV ads about surgery. They do not know anything about you or your medical history. I also have FMS and it very much complicates any medical history of chronic pain. Surgery could help, or could actually make your pain worse. Your BF (and you) should have thought about the stresses of a toddler before you had a baby together. I have not heard of any kind of help with normal toddlers while their mom has surgery. Check with your county (phone 211) about respite care if your child is not entirely healthy. From my point of view, your pain med doses ARE fairly high, certainly are not considered low. But it is an individual thing. We are all different. I take methadone 10 mg. three times a day, and oxycodone 20 mg. as needed for breakthrough pain, (usually twice a day). That is all the opioid-type medicine I take, and I have been taking opioids of some sort daily since 1995 or so. Is your Opana a long acting drug that you take on a schedule, or do you only take it as needed for break-though pain? Trust me, I have been in your shoes with a husband and a toddler, I discovered when we split up that I was taking care of two kids, not one. Money was a little tighter, but life was a lot better after he moved out. It was fairly easy except for the childcare. But I have since found out that it is tough for ANY mom to find decent childcare. Take care, Annette"
2534,surgical,"I would never have surgery based on a single opinion, talk to at least one more hand surgeon and a neurologist. It could also be your neck that is causing weakness in one arm/hand. I would personally not have surgery and it attendant risks for intermittent numbness that only happens in certain positions at night. How long does it take to ""wake up"" your hand in the AM when you get up? I have known people with carpal tunnel syndrome that never had any surgery at all, and others that did. It is not an emergency, talk to more MDs and get all your questions answered. I had weakness in my dominant hand that got worse and worse, I had a surgery in my cervical spine that fixed it, but six months later, I herniated the disc below that one. I have not had weakness, only numbness with certain positions of my head/neck. I have opted not to have more surgery. That was in the early 1990s. It is not better, but it isn<APO>t worse either. Take care, Annette"
3299,policy and pharmaceuticals,"Here is the website, www.fda.gov/cder/ogd/#Introduction. Anyone who is truly interested can go there and read about the generic approval process and all about the generic drugs in general. The word ""identical"" comes up often in relationship to drug, dose, route of administration, etc. when comparing generics to trade or brand name drugs. Identical does not mean 80-110% of the drug is allowed in generics. It means precisely 100%. Milligrams are metric weights, they are not adjustable, they are specific amounts. If anyone can give me the place in the FDA site where they say 80-110% of the dose is permissible so I can go read it myself, I would truly appreciate it. If I am wrong, I am happy to learn something new and apologize for any inaccurate info I have posted. I have done so in the past. No one is perfect, we all make mistakes. Point me in the right direction. I have asked for this same thing numerous other times on this board when this topic has come up, no one has ever posted back with this information verified anywhere on the FDA site. Take care, Annette"
3389,pharmaceutical therapy,"Hi, I am a RN also, disabled since 1998 or so, but I also keep my license up to date, at least it is in Calif. I am also hoping for a medical miracle. I have never lived in Florida so I am not much help with doctors. I found that interviewing a new pcp after talking to the office staff is best. They ALL say they don<APO>t give opioids to chronic pain patients, that is to weed out the drug abusers. I ignore that, and just tell them my story, and give them copies of my medical records, tests, etc. Also a list of my current meds. I am open to all types of pain management, and leave it up to them. So far, so good. I have always been able to get my pain meds along with whatever else I need. I give the new pcp 2-4 appts. to get to know me, trust is a two way street. They have always agreed to prescribe whatever I was on before. I have had to get consults with pain management specialists sometimes, no big deal. But, that is out here in Oregon, not in Florida. Best of luck. Take care, Annette"
2435,primary care provider interactions,"Unless you are typing with your bad hand held above your head, it will probably keep on hurting, no matter how many pain pills you take. The swelling causes pain, and not keeping it elevated above your heart causes more swelling. Take care, Annette"
2003,detox,"What kind of detox did she do? There is a rapid detox done under general anesthesia that can be done as a day procedure, but it costs a lot and is usually not covered by insurance. I am not aware of any other kind of detox that would not entail going through withdrawal. Of course, the withdrawal symptoms can be treated with other medications so they are managable. But that can be done as an outpatient also, so I don<APO>t see insurance paying for it. You should not even think about doing it by yourself, your doctor should always be a part of that equation. Take care, Annette"
1131,headache,"Whenever you have a new or different type of headache, you should have your doctor check it out. Usually, it is a treatable, minor thing. But, occasionally it is something serious. My husband had a sub-dural hemtoma and his first symptom was a severe headache. I have a long history of migraines, I used ice packs over a towel on the back of my neck. That helped a lot. Or heat, only the individual knows what works for them. The first thing to do is see your doctor. Take care, Annette"
324,communication and learning about pain,"What do you mean you feel like crap? That is not enough information. Are you still taking the neurontin? Taking percocet for ""nearly a week"" is unlikely to cause any problems at all. Your body will eventually adjust to the meds you are currently taking. You may be having side effects from the neurontin, they usually go away after a few weeks on a steady dose. Discuss this all with your doctor, he will advise you as to the best thing to do. Take care, Annette"
2276,policy and pharmaceuticals,"I would call your insurance company and ask why they are not covering these injections anymore. I am not sure it is the best treatment for your condition, but I don<APO>t know about that. I am not a doctor. It may be that the insurance company did not feel the cost was worth improved pain ""for days"". What else did you do for pain management during the five months between injections? See what the insurance company says, and compare that with what the doctor said. Perhaps you will come to some conclusions. Take care, Annette"
3044,social support for pain,"Look out what you wish for. I worked with a Dr. once in the ER who had back surgery. He was a wonderful doctor, very understanding and kind. He hurt his back and ended up with chronic back pain. He finally had surgery with success as far as pain relief went. After all of this was done and over, he and I were talking one night, he said he had lost all compassion for chronic pain patients as he had been one and if he managed to cover his work shifts, so should they. He felt they were a bunch of whiners. Fortunately, this was not conveyed to patients, he continued to treat them well. It is all in the personal attitude and how you behave and act throughout your life. Take care, Annette"
1077,pharmaceutical therapy,"Did she ever get regular bowel movements? If not, being constipated really hurts, you get abdominal pain from being all backed up with fecal matter. It can also cause vomiting and nausea. I totally understand the comment the doctor made about an antibiotic not working on people in your area. It is NOT a racist comment. This has to do with antibiotic resistance. When people in a certain community have infections and are all treated with the same antibiotic, the bacteria become resistant to that antibiotic, and often a different antibiotic becomes necessary. I worked in a free clinic and the doctors had access to information about antibiotic resistance in different communities. Because we did not have access to a lab to do cultures like the folks with insurance do, the doctors would often rely on that kind of information to decide what antibiotic to use for different kinds of infections. It is far better to have a culture and sensitivity done on all patients that present with a UTI (or any other type infection) based on a urine dip stick test that just shows the presence of blood cells and proteins and such. With a culture and sensitivity the doctor knows within 24 hours if the patient was given the correct antibiotic, and if not they call you on the phone and tell you so you can go get the best RX for that infection. It is very important that she take every pill until they are all gone, do not stop them unless a doctor tell you to. Did any of the places she went to do a culture and sensitivity to determine which antibiotic is best for that infection? You do have to fight for her care, that is unfortunate, but true. So far, based on what the doctors found, she is very constipated and had/has a bladder infection. So the main things so far are, has she had reasonably decent bowel movements daily or every other day? And has the bladder infection resolved? The best way to tell that is to have a urinalysis about a week after she finished her antibiotics. It should show clear by then. I know it is hard to get her in to a regular PCP but keep trying, it will be worth it in the end. Someone who knows her and has her medical records at hand will be the best person to care for her. Take care, Annette"
4637,pharmaceutical adverse effects,"I had no problems switching from MS Contin, generic of course, to methadone. The doctor does the calculations with the help of an online tool for just that. Then he should start you low and you very slowly titrate the dose upwards until it works for you. Methadone is a bit tricky, it works differently than other opioids. Don<APO>t mess with the dose on your own. I think I started at 5 mgs. twice a day and ended up on 10 mg. three times a day. I would start having pain again hours before the next methadone dose war due, so she changed it to every 8 hours instead of every 12 hours. The main thing is start low and work your way very slowly until you have good pain control. I still take 20 mg. of oxycodone for breakthrough pain. I take it generally about twice a day, sometimes more, sometimes less. Take care, Annette"
1583,pharmaceutical adverse events,"I would do proper research on this treatment prior to even thinking about having it. Try just using the Google search engine or the search engine that you prefer, that will give you a starting out place. Find out if it has had randomized, double blind studies done to prove its effectiveness, and read those if it has had them. What does your own doctor say? I don<APO>t have RSD, MS, or Parkinson<APO>s so I can<APO>t tell you much. Take care, Annette"
3458,communication and learning about pain,"I have taken tramadol and the occasional Imitrex type drug for migraines. I believe that the interaction that you are afraid of is serotonin syndrome, it can be more frequent if multiple drugs that affect the serotonin levels in the blood are taken. My doctor told me the symptoms of serotonin syndrome and what to do if it happened and left it up to me to decide if I wanted to take both drugs or not. I did and had no problem at all. I took them together for years, although my use of the migraine medicine was limited as I took it as needed, not regularly. Take care, Annette"
2267,communication and learning about pain,"We all had ""growing pains"" much younger than middle and high school. My brothers had them in elementary school, my nephew even younger. I am with your grand-daughter<APO>s mother, I never took my son to the doctor for every ache and pain. I think waiting for another episode is reasonable, unless the child has been in misery for a long time already. Besides she is the mother, and it is up to her. It is kind of nice being the grandmother now, I have all the fun, but the major decisions are up to their parents. I trust them to do the right thing. Take care, Annette"
4824,communication and learning about pain,"Is the doctor who prescribes the Oxycontin aware that you are not taking the second dose? I would suggest that you takes ALL your medicine bottles in a brown paper bag to ALL of your doctors who have prescribed any of them and check for interactions, let them all know you are having trouble sleeping. Do this fairly soon. Meanwhile if you have access to a nurse line through your insurance company perhaps you could call them and explain what is going on. Clonazepam, methocarbamol, and zanaflex all have muscle relaxant actions, should you really be taking all three at the same time? Ask your doctors? I also have FMS, insomnia is part of having FMS, I know this because I have it also. It sucks big time. The less sleep you get the more pain you have. It can be a vicious circle. Take care, Annette"
3642,primary care provider interactions,"I think you should discuss this with your doctor or a health practitioner at your college health clinic. You will probably find out it is no big deal, but better safe than sorry. An adrenaline rush can cause brief symptoms, a tingling or perhaps pain, then as it subsides you may feel tired and lethargic. Take care, Annette"
4010,communication and learning about pain,"It is possible that your body has developed tolerance to the meds, but the pain may also be worse for some reason. You may not have developed tolerance at all. Please always take exactly what the RX says, if it doesn<APO>t work well, go see the prescribing doctor. That is what he is there for. You must ask to see a pain management specialist yourself, ask your pcp about it also. He may be willing to manage your pain for you. My pcp does and has for many years. Take care, Annette"
1236,primary care provider interactions,"I am so glad your pcp gave you some samples and at least a start on medicines to relieve your pain. I would not deal with any PM doctor who has staff that argue with you about being compliant when you have not even seen the doctor yet. I hope the first one works out for you. Do keep in mind that when you choose one gender over the other for doctors you are putting aside half the possibilities. I assume you have a good reason for this, but keep in mind that you can cover that at the initial interview and if the doctor is not respectful of your feelings you can cross him off the list then. I have had both female and male doctors, my current pcp that manages all my care including pain management is a female, she is great. Best of luck, and get a good night<APO>s sleep. Take care, Annette"
3996,pharmaceutical therapy,"Have you discussed this with your own surgeon? What did he tell you? I hope the neurontin helps, I have taken it for many years with excellent results. Take care, Annette"
74,surgical,"I just had the plain discectomy, the two vertebrae fused naturally after 4-5 months. Every one is different, so you need to speak to a good neurosurgeon and then if you consider surgery, get a second opinion. I do not recommend surgery if you are seeking pain relief. The risks are greater than the possible benefits as far as I am concerned. God helps those who help themselves. Take care, Annette"
2022,communication and learning about pain,"Everyone is different in how they respond to meds, and how fast they heal. Don<APO>t smoke, keep that foot elevated HIGHER than your heart as much as possible, and take meds and use ice as directed by your doctor. If you don<APO>t keep that foot elevated much of the time, it will hurt no matter what drugs you take. You are not supposed to get much done, you are supposed to be resting and keeping it up. Take care, Annette"
2345,pharmaceutical therapy,"How long were you on Avinza and why did you stop taking it? Did it help at all while you were on it? That is only one long acting opiate, I would try them all before I tried any kind of surgically implanted device. Antidepressants help many people with chronic pain because they mediate the neurotransmitters that carry the pain signals to the brain. They didn<APO>t work for me, but have helped many people I know. Pamelor is one kind of antidepressant, but there are many others to try also. I think I tried 5-6 all together. Hope things get better soon. Take care, Annette"
19,policy and pharmaceuticals,"Call your insurance program and ask them about a pain management program close enough for you to go to. It is unreasonable to expect you to drive 100 miles to see a specialist regularly. They may have an appeals program and tell you how to go about getting an exception. You can also ask your old pain management doctor if he will join the insurance program you belong to. Several doctors have done that for my hubby and I. It means some extra paperwork for them, but they will reap the monetary benefits so they will often do it. Take care, Annette"
4360,pharmaceutical adverse effects,"Hi, Mike Haven<APO>t seen you in a long time. I hope all is well with you and yours. I am glad that you and your son are doing fine, but I would not assume anything. I would contact your doctors and ask for written confirmation of the name of the pharmaceutical company that they got their product from. According to the newspaper the name of the company involved is the New England Compounding Center. Today<APO>s paper said that the company involved shipped 17,700 single dose vials to 23 states. And that inspectors found at least one sealed vial contaminated with fungus. They are still doing tests of course. They feel that up to 13,000 people got steroid injections in their spine or other joints. The sad news is that they were not only used on spines which could cause spinal meningitis, but also they were used on joints like knees and shoulders. I would assume this means they could have other sites for infections, but it didn<APO>t say exactly what could happen. There have been 105 illnesses and 9 deaths so far, according to the newspaper. Makes me glad I haven<APO>t had any of these injections. Take care, Annette"
1534,pharmaceutical adverse effects,"I followed the link on this page to a lecture by Sandra Welch who participated in studies with Marinol (not marijuana) and opiates and she found this effect. However, she only used mice and rats in her studies, not people. I think it will be better once we have clinical trials with humans. Marinol is available now in the US and I am familiar with some folks who have used it for pain, with varying results. If your doctor wants to give it a try, he is free to do so. Take care, Annette"
4412,pharmaceutical adverse effects,"Very interesting, Caprice. It does make sense. Our newspaper said that as of 10/27/2012 there had been 25 deaths and >300 infections in 18 states related to these tainted steroid shots. Very sad, people getting these injections to relieve horrible pain, and they end up like this. Take care, Annette"
3761,pharmaceutical adverse effects ,"I agree with you almost entirely. I do not personally know the original derivation of the name, but your other information is correct as far as I know. I used it in nursing school for pain in cancer patients in 1968-1970, and after that later in 1970, I used it as a nurse working in an addiction treatment center. We had to get special permission from the government because it was used on an experimental basis for addiction treatment at that time. Thanks for the post. Take care, Annette"
4811,pharmaceutical adverse effects ,"What is written on the bottle was written for another person and another type of pain. This is a felony in most states, and for good reasons like the ones you already mentioned. Getting booted from this doctor<APO>s practice for a positive drug test at your next visit just means you will go through withdrawals later on, and have a very difficult time getting another doctor. Take care, Annette"
2231,communication and learning about pain,"No one, not even the best doctor can predict how you will react to a medicine that you have not even tried yet. He may have an opinion, but he doesn<APO>t know for sure. I tried so many different combinations that didn<APO>t work, and then finally found a combo that works for me. Some side effects also go away after a few weeks or months even. If you don<APO>t try, you will never know. Good luck to you whatever you decide to do. Take care, Annette"
5060,primary care provider interactions,"A PCP is your primary care physician, so a specialist is not usually a PCP. I would find either a family practice doctor or an internist. He can refer you to a pain management specialist if necessary. Occasionally a GYN acts as the PCP for some women. If your pain is related partly to pelvic adhesions, have you asked a GYN for her opinion? I would never ask if the PCP prescribes opiates for chronic pain when I schedule the first appt. They always say no so that the drug abusers don<APO>t come flocking to their doors. I wait until I go for the initial appt, then I explain what meds I take and why and all that. I always tell them that I am prepared to wait until they get to know me and feel comfortable with me before they choose to prescribe opiates. Every doctor I have ever been to has offered by about the third appt. to write for my pain meds. Trust goes both ways, they have to be able to trust that you will take your meds properly and not sell them like your acquaintance does. They also need to make their own decision about what meds are necessary. Since you have already been off of them for two weeks, you have been through 99% of any withdrawal you are going to have, and your tolerance level has reset to that of someone who never took opiates at all. Because of this, you may require far less than you did when you stopped taking them. That is the silver lining of this dark cloud for you. Good luck in your quest. Take care, Annette"
4048,pharmaceutical therapy,"I am so glad the belladonna is working for you. It is a really old drug when used by itself, I am glad your doctor knew about it. Is it mixed with other drugs, or by itself? I gave it once in 40 years by itself to a patient of mine. I think it is part of the mixture of drugs in Donnatal, which is fairly commonly used for spasms in the GI tract. I don<APO>t remember for sure. I am so glad your pain is gone. How wonderful. Take care, Annette"
4527,policy and pharmaceuticals,"My continuing problem is with patients who have no access to medical care, due to their financial status or lack of insurance. Free clinics in our area do not give out pain meds, poor and middle class people do not have access to pain clinics for any kind of treatment if they do not have insurance or cash. Free clinics in other areas may give out pain meds, I don<APO>t know, I have volunteered at a local one here in Oregon, pain meds were a definite no-no, even if they were indicated. Take care, Annette"
